accuracy,jaccard,dice_coef,f1score,precision,recall
0.996,0.992,0.988,0.996,0.996,0.996
0.997,0.994,0.992,0.997,0.997,0.997
0.997,0.995,0.995,0.997,0.997,0.997
0.997,0.995,0.995,0.997,0.997,0.997
0.984,0.969,0.969,0.984,0.984,0.984
0.997,0.993,0.994,0.997,0.997,0.997
0.993,0.987,0.979,0.993,0.993,0.993
0.997,0.994,0.993,0.997,0.997,0.997
0.976,0.953,0.948,0.976,0.976,0.976
0.989,0.977,0.962,0.989,0.989,0.989
0.997,0.993,0.983,0.997,0.997,0.997
0.997,0.995,0.992,0.997,0.997,0.997
0.998,0.997,0.994,0.998,0.998,0.998
0.999,0.997,0.995,0.999,0.999,0.999
0.993,0.986,0.986,0.993,0.993,0.993
0.974,0.949,0.945,0.974,0.974,0.974
0.994,0.988,0.983,0.994,0.994,0.994
0.991,0.982,0.958,0.991,0.991,0.991
0.998,0.995,0.992,0.998,0.998,0.998
0.997,0.994,0.991,0.997,0.997,0.997
0.998,0.996,0.994,0.998,0.998,0.998
0.997,0.993,0.992,0.997,0.997,0.997
0.999,0.997,0.997,0.999,0.999,0.999
0.997,0.995,0.993,0.997,0.997,0.997
0.997,0.995,0.993,0.997,0.997,0.997
0.99,0.981,0.963,0.99,0.99,0.99
0.998,0.995,0.991,0.998,0.998,0.998
0.998,0.995,0.991,0.998,0.998,0.998
0.998,0.996,0.993,0.998,0.998,0.998
0.994,0.989,0.992,0.994,0.994,0.994
0.994,0.989,0.984,0.994,0.994,0.994
0.995,0.99,0.985,0.995,0.995,0.995
0.996,0.992,0.988,0.996,0.996,0.996
0.997,0.994,0.99,0.997,0.997,0.997
0.998,0.996,0.993,0.998,0.998,0.998
0.996,0.993,0.995,0.996,0.996,0.996
0.997,0.993,0.99,0.997,0.997,0.997
0.997,0.994,0.991,0.997,0.997,0.997
0.998,0.997,0.995,0.998,0.998,0.998
0.994,0.988,0.976,0.994,0.994,0.994
0.998,0.996,0.994,0.998,0.998,0.998
0.996,0.992,0.992,0.996,0.996,0.996
0.997,0.995,0.993,0.997,0.997,0.997
0.999,0.998,0.998,0.999,0.999,0.999
0.997,0.993,0.991,0.997,0.997,0.997
0.995,0.991,0.981,0.995,0.995,0.995
0.998,0.997,0.996,0.998,0.998,0.998
0.996,0.993,0.985,0.996,0.996,0.996
0.998,0.996,0.996,0.998,0.998,0.998
0.998,0.995,0.993,0.998,0.998,0.998
0.998,0.996,0.992,0.998,0.998,0.998
0.996,0.991,0.992,0.996,0.996,0.996
0.994,0.987,0.974,0.994,0.994,0.994
0.997,0.993,0.99,0.997,0.997,0.997
0.999,0.999,0.998,0.999,0.999,0.999
0.992,0.985,0.963,0.992,0.992,0.992
0.997,0.993,0.988,0.997,0.997,0.997
1.0,1.0,0.999,1.0,1.0,1.0
0.998,0.996,0.992,0.998,0.998,0.998
0.995,0.99,0.992,0.995,0.995,0.995
0.998,0.997,0.995,0.998,0.998,0.998
0.998,0.997,0.996,0.998,0.998,0.998
0.994,0.989,0.988,0.994,0.994,0.994
0.997,0.994,0.983,0.997,0.997,0.997
0.999,0.998,0.996,0.999,0.999,0.999
0.999,0.997,0.997,0.999,0.999,0.999
0.997,0.994,0.993,0.997,0.997,0.997
0.998,0.995,0.992,0.998,0.998,0.998
0.997,0.994,0.99,0.997,0.997,0.997
0.999,0.997,0.996,0.999,0.999,0.999
0.996,0.991,0.989,0.996,0.996,0.996
0.997,0.993,0.99,0.997,0.997,0.997
0.995,0.991,0.991,0.995,0.995,0.995
0.995,0.989,0.988,0.995,0.995,0.995
0.979,0.959,0.934,0.979,0.979,0.979
0.996,0.992,0.991,0.996,0.996,0.996
0.995,0.99,0.99,0.995,0.995,0.995
0.993,0.986,0.983,0.993,0.993,0.993
0.998,0.995,0.994,0.998,0.998,0.998
0.996,0.991,0.994,0.996,0.996,0.996
0.999,0.997,0.993,0.999,0.999,0.999
0.999,0.997,0.995,0.999,0.999,0.999
0.992,0.983,0.969,0.992,0.992,0.992
0.996,0.993,0.987,0.996,0.996,0.996
0.997,0.995,0.986,0.997,0.997,0.997
0.982,0.965,0.955,0.982,0.982,0.982
0.996,0.993,0.989,0.996,0.996,0.996
0.969,0.941,0.932,0.969,0.969,0.969
0.998,0.996,0.996,0.998,0.998,0.998
0.997,0.994,0.993,0.997,0.997,0.997
0.997,0.995,0.993,0.997,0.997,0.997
0.997,0.994,0.989,0.997,0.997,0.997
0.997,0.995,0.992,0.997,0.997,0.997
0.998,0.996,0.994,0.998,0.998,0.998
0.996,0.992,0.986,0.996,0.996,0.996
0.993,0.986,0.987,0.993,0.993,0.993
0.998,0.995,0.993,0.998,0.998,0.998
0.997,0.993,0.99,0.997,0.997,0.997
0.997,0.994,0.986,0.997,0.997,0.997
0.998,0.996,0.994,0.998,0.998,0.998
0.986,0.973,0.974,0.986,0.986,0.986
0.998,0.995,0.994,0.998,0.998,0.998
0.997,0.993,0.996,0.997,0.997,0.997
0.996,0.991,0.992,0.996,0.996,0.996
0.994,0.988,0.981,0.994,0.994,0.994
0.996,0.993,0.992,0.996,0.996,0.996
0.992,0.984,0.984,0.992,0.992,0.992
0.996,0.991,0.992,0.996,0.996,0.996
0.998,0.996,0.995,0.998,0.998,0.998
0.994,0.988,0.986,0.994,0.994,0.994
0.997,0.994,0.99,0.997,0.997,0.997
0.998,0.995,0.991,0.998,0.998,0.998
0.996,0.991,0.992,0.996,0.996,0.996
0.998,0.996,0.992,0.998,0.998,0.998
0.997,0.994,0.997,0.997,0.997,0.997
0.997,0.995,0.995,0.997,0.997,0.997
0.997,0.994,0.991,0.997,0.997,0.997
0.991,0.982,0.977,0.991,0.991,0.991
0.998,0.995,0.992,0.998,0.998,0.998
0.998,0.997,0.996,0.998,0.998,0.998
0.995,0.989,0.99,0.995,0.995,0.995
0.998,0.996,0.997,0.998,0.998,0.998
0.98,0.961,0.953,0.98,0.98,0.98
0.998,0.997,0.995,0.998,0.998,0.998
0.99,0.98,0.981,0.99,0.99,0.99
0.997,0.994,0.993,0.997,0.997,0.997
0.997,0.994,0.992,0.997,0.997,0.997
0.998,0.995,0.993,0.998,0.998,0.998
0.995,0.991,0.989,0.995,0.995,0.995
0.995,0.99,0.985,0.995,0.995,0.995
0.994,0.988,0.984,0.994,0.994,0.994
0.978,0.957,0.923,0.978,0.978,0.978
0.997,0.993,0.992,0.997,0.997,0.997
0.983,0.967,0.948,0.983,0.983,0.983
0.998,0.996,0.994,0.998,0.998,0.998
0.996,0.992,0.99,0.996,0.996,0.996
0.998,0.995,0.993,0.998,0.998,0.998
0.998,0.995,0.996,0.998,0.998,0.998
0.997,0.993,0.993,0.997,0.997,0.997
0.998,0.996,0.993,0.998,0.998,0.998
0.997,0.994,0.988,0.997,0.997,0.997
0.997,0.995,0.992,0.997,0.997,0.997
0.998,0.996,0.995,0.998,0.998,0.998
0.998,0.996,0.993,0.998,0.998,0.998
0.994,0.987,0.987,0.994,0.994,0.994
0.996,0.993,0.988,0.996,0.996,0.996
0.994,0.989,0.99,0.994,0.994,0.994
0.999,0.998,0.997,0.999,0.999,0.999
0.997,0.995,0.994,0.997,0.997,0.997
0.999,0.997,0.994,0.999,0.999,0.999
0.998,0.997,0.995,0.998,0.998,0.998
0.998,0.996,0.995,0.998,0.998,0.998
0.999,0.997,0.994,0.999,0.999,0.999
0.99,0.98,0.977,0.99,0.99,0.99
0.998,0.995,0.993,0.998,0.998,0.998
0.996,0.993,0.989,0.996,0.996,0.996
0.998,0.997,0.997,0.998,0.998,0.998
0.996,0.993,0.989,0.996,0.996,0.996
0.994,0.988,0.982,0.994,0.994,0.994
0.998,0.996,0.995,0.998,0.998,0.998
0.998,0.996,0.994,0.998,0.998,0.998
0.995,0.991,0.98,0.995,0.995,0.995
0.998,0.997,0.991,0.998,0.998,0.998
0.995,0.991,0.982,0.995,0.995,0.995
0.966,0.934,0.922,0.966,0.966,0.966
0.997,0.994,0.99,0.997,0.997,0.997
0.997,0.993,0.992,0.997,0.997,0.997
0.997,0.995,0.995,0.997,0.997,0.997
0.997,0.994,0.993,0.997,0.997,0.997
0.995,0.991,0.991,0.995,0.995,0.995
0.996,0.992,0.988,0.996,0.996,0.996
0.991,0.981,0.974,0.991,0.991,0.991
0.996,0.992,0.988,0.996,0.996,0.996
0.999,0.997,0.995,0.999,0.999,0.999
0.999,0.997,0.993,0.999,0.999,0.999
0.994,0.987,0.984,0.994,0.994,0.994
0.998,0.997,0.994,0.998,0.998,0.998
0.998,0.996,0.994,0.998,0.998,0.998
0.994,0.989,0.971,0.994,0.994,0.994
0.996,0.991,0.972,0.996,0.996,0.996
0.983,0.966,0.946,0.983,0.983,0.983
0.997,0.994,0.993,0.997,0.997,0.997
0.988,0.976,0.981,0.988,0.988,0.988
0.998,0.996,0.994,0.998,0.998,0.998
0.989,0.978,0.97,0.989,0.989,0.989
0.992,0.984,0.976,0.992,0.992,0.992
0.992,0.985,0.986,0.992,0.992,0.992
0.987,0.974,0.971,0.987,0.987,0.987
0.998,0.995,0.993,0.998,0.998,0.998
0.996,0.991,0.991,0.996,0.996,0.996
0.998,0.995,0.995,0.998,0.998,0.998
0.995,0.991,0.986,0.995,0.995,0.995
0.997,0.993,0.991,0.997,0.997,0.997
0.992,0.983,0.976,0.992,0.992,0.992
0.998,0.996,0.99,0.998,0.998,0.998
0.997,0.993,0.995,0.997,0.997,0.997
0.997,0.994,0.99,0.997,0.997,0.997
0.996,0.992,0.983,0.996,0.996,0.996
0.993,0.987,0.989,0.993,0.993,0.993
0.997,0.994,0.993,0.997,0.997,0.997
0.998,0.996,0.994,0.998,0.998,0.998
0.999,0.997,0.996,0.999,0.999,0.999
0.995,0.99,0.993,0.995,0.995,0.995
0.989,0.978,0.982,0.989,0.989,0.989
0.996,0.992,0.987,0.996,0.996,0.996
0.998,0.996,0.993,0.998,0.998,0.998
0.999,0.997,0.995,0.999,0.999,0.999
0.994,0.987,0.984,0.994,0.994,0.994
0.986,0.972,0.935,0.986,0.986,0.986
0.998,0.996,0.993,0.998,0.998,0.998
0.997,0.995,0.993,0.997,0.997,0.997
0.997,0.993,0.988,0.997,0.997,0.997
0.982,0.966,0.957,0.982,0.982,0.982
0.993,0.985,0.991,0.993,0.993,0.993
0.991,0.981,0.967,0.991,0.991,0.991
0.998,0.995,0.993,0.998,0.998,0.998
0.996,0.991,0.974,0.996,0.996,0.996
0.989,0.979,0.98,0.989,0.989,0.989
0.959,0.922,0.929,0.959,0.959,0.959
0.993,0.986,0.98,0.993,0.993,0.993
0.996,0.992,0.981,0.996,0.996,0.996
0.996,0.992,0.99,0.996,0.996,0.996
0.997,0.995,0.993,0.997,0.997,0.997
0.993,0.986,0.973,0.993,0.993,0.993
0.994,0.989,0.988,0.994,0.994,0.994
0.997,0.994,0.99,0.997,0.997,0.997
0.997,0.993,0.99,0.997,0.997,0.997
0.996,0.993,0.991,0.996,0.996,0.996
0.986,0.973,0.921,0.986,0.986,0.986
0.997,0.994,0.991,0.997,0.997,0.997
0.981,0.963,0.962,0.981,0.981,0.981
0.995,0.989,0.99,0.995,0.995,0.995
0.99,0.98,0.967,0.99,0.99,0.99
0.997,0.994,0.99,0.997,0.997,0.997
0.997,0.994,0.989,0.997,0.997,0.997
0.985,0.97,0.978,0.985,0.985,0.985
0.998,0.995,0.992,0.998,0.998,0.998
0.998,0.996,0.995,0.998,0.998,0.998
0.995,0.99,0.983,0.995,0.995,0.995
0.997,0.994,0.992,0.997,0.997,0.997
0.998,0.996,0.993,0.998,0.998,0.998
0.997,0.993,0.993,0.997,0.997,0.997
0.996,0.991,0.989,0.996,0.996,0.996
0.996,0.992,0.992,0.996,0.996,0.996
0.998,0.996,0.991,0.998,0.998,0.998
0.994,0.988,0.99,0.994,0.994,0.994
0.983,0.966,0.955,0.983,0.983,0.983
0.998,0.997,0.993,0.998,0.998,0.998
0.995,0.99,0.977,0.995,0.995,0.995
0.997,0.994,0.99,0.997,0.997,0.997
0.997,0.993,0.987,0.997,0.997,0.997
0.992,0.984,0.977,0.992,0.992,0.992
0.998,0.995,0.993,0.998,0.998,0.998
0.996,0.993,0.99,0.996,0.996,0.996
0.997,0.994,0.992,0.997,0.997,0.997
0.996,0.991,0.992,0.996,0.996,0.996
0.999,0.997,0.996,0.999,0.999,0.999
0.997,0.993,0.991,0.997,0.997,0.997
0.993,0.986,0.99,0.993,0.993,0.993
0.998,0.995,0.993,0.998,0.998,0.998
0.995,0.99,0.991,0.995,0.995,0.995
0.999,0.998,0.995,0.999,0.999,0.999
0.994,0.989,0.986,0.994,0.994,0.994
0.997,0.994,0.995,0.997,0.997,0.997
0.998,0.996,0.995,0.998,0.998,0.998
0.998,0.997,0.991,0.998,0.998,0.998
0.988,0.976,0.971,0.988,0.988,0.988
0.996,0.993,0.991,0.996,0.996,0.996
0.997,0.993,0.99,0.997,0.997,0.997
0.996,0.992,0.991,0.996,0.996,0.996
0.969,0.94,0.91,0.969,0.969,0.969
0.991,0.983,0.976,0.991,0.991,0.991
0.995,0.991,0.983,0.995,0.995,0.995
0.993,0.986,0.983,0.993,0.993,0.993
0.993,0.985,0.978,0.993,0.993,0.993
0.994,0.988,0.986,0.994,0.994,0.994
0.996,0.991,0.989,0.996,0.996,0.996
0.999,0.998,0.996,0.999,0.999,0.999
0.985,0.971,0.962,0.985,0.985,0.985
0.996,0.992,0.989,0.996,0.996,0.996
0.995,0.991,0.994,0.995,0.995,0.995
0.979,0.96,0.951,0.979,0.979,0.979
0.978,0.957,0.94,0.978,0.978,0.978
0.996,0.992,0.989,0.996,0.996,0.996
0.998,0.996,0.996,0.998,0.998,0.998
0.997,0.994,0.995,0.997,0.997,0.997
0.997,0.995,0.99,0.997,0.997,0.997
0.997,0.995,0.993,0.997,0.997,0.997
0.998,0.997,0.995,0.998,0.998,0.998
0.996,0.992,0.986,0.996,0.996,0.996
0.989,0.978,0.967,0.989,0.989,0.989
0.995,0.991,0.988,0.995,0.995,0.995
0.998,0.996,0.995,0.998,0.998,0.998
0.997,0.993,0.992,0.997,0.997,0.997
0.989,0.978,0.97,0.989,0.989,0.989
0.999,0.997,0.996,0.999,0.999,0.999
0.997,0.995,0.993,0.997,0.997,0.997
0.997,0.993,0.996,0.997,0.997,0.997
0.994,0.988,0.986,0.994,0.994,0.994
0.996,0.992,0.983,0.996,0.996,0.996
0.998,0.996,0.994,0.998,0.998,0.998
0.998,0.995,0.993,0.998,0.998,0.998
0.996,0.993,0.992,0.996,0.996,0.996
0.992,0.985,0.972,0.992,0.992,0.992
0.997,0.994,0.995,0.997,0.997,0.997
0.998,0.996,0.994,0.998,0.998,0.998
0.996,0.992,0.99,0.996,0.996,0.996
0.999,0.998,0.997,0.999,0.999,0.999
0.998,0.996,0.994,0.998,0.998,0.998
0.995,0.99,0.989,0.995,0.995,0.995
0.996,0.993,0.994,0.996,0.996,0.996
0.996,0.992,0.986,0.996,0.996,0.996
0.999,0.997,0.996,0.999,0.999,0.999
0.998,0.996,0.994,0.998,0.998,0.998
0.998,0.996,0.993,0.998,0.998,0.998
0.994,0.989,0.985,0.994,0.994,0.994
0.999,0.997,0.995,0.999,0.999,0.999
0.997,0.994,0.994,0.997,0.997,0.997
0.995,0.991,0.987,0.995,0.995,0.995
0.995,0.991,0.993,0.995,0.995,0.995
0.995,0.99,0.985,0.995,0.995,0.995
0.997,0.995,0.994,0.997,0.997,0.997
0.973,0.947,0.944,0.973,0.973,0.973
0.995,0.991,0.983,0.995,0.995,0.995
0.998,0.996,0.993,0.998,0.998,0.998
0.995,0.99,0.989,0.995,0.995,0.995
0.992,0.983,0.987,0.992,0.992,0.992
0.998,0.997,0.994,0.998,0.998,0.998
0.998,0.996,0.991,0.998,0.998,0.998
0.997,0.994,0.992,0.997,0.997,0.997
0.997,0.994,0.992,0.997,0.997,0.997
0.994,0.988,0.981,0.994,0.994,0.994
0.994,0.987,0.983,0.994,0.994,0.994
0.997,0.994,0.995,0.997,0.997,0.997
0.998,0.995,0.987,0.998,0.998,0.998
0.996,0.993,0.992,0.996,0.996,0.996
0.994,0.988,0.991,0.994,0.994,0.994
0.999,0.998,0.997,0.999,0.999,0.999
0.996,0.991,0.992,0.996,0.996,0.996
0.993,0.986,0.983,0.993,0.993,0.993
0.993,0.986,0.966,0.993,0.993,0.993
0.998,0.996,0.993,0.998,0.998,0.998
0.995,0.991,0.984,0.995,0.995,0.995
0.998,0.997,0.994,0.998,0.998,0.998
0.997,0.993,0.99,0.997,0.997,0.997
0.994,0.989,0.976,0.994,0.994,0.994
0.992,0.985,0.944,0.992,0.992,0.992
0.997,0.994,0.993,0.997,0.997,0.997
0.995,0.989,0.991,0.995,0.995,0.995
0.997,0.994,0.99,0.997,0.997,0.997
0.992,0.983,0.977,0.992,0.992,0.992
0.991,0.982,0.983,0.991,0.991,0.991
0.993,0.986,0.985,0.993,0.993,0.993
0.996,0.991,0.993,0.996,0.996,0.996
0.994,0.988,0.99,0.994,0.994,0.994
0.995,0.989,0.982,0.995,0.995,0.995
0.998,0.996,0.997,0.998,0.998,0.998
0.993,0.986,0.961,0.993,0.993,0.993
0.991,0.983,0.984,0.991,0.991,0.991
0.999,0.998,0.995,0.999,0.999,0.999
0.998,0.997,0.995,0.998,0.998,0.998
0.998,0.996,0.994,0.998,0.998,0.998
0.996,0.993,0.985,0.996,0.996,0.996
0.997,0.994,0.99,0.997,0.997,0.997
